Shape_Leng,STATUS,ADM1_CODE,ADM0_NAME,STR2_YEAR,ADM2_NAME,ADM0_CODE,EXP2_YEAR,Shape_Area,ADM2_CODE,DISP_AREA,ADM1_NAME,Baseline_Mean,Baseline_HighRisk%,RCP45_2050_Mean,RCP45_2050_HighRisk%,RCP85_2050_Mean,RCP85_2050_HighRisk%,RCP45_2100_Mean,RCP45_2100_HighRisk%,RCP85_2100_Mean,RCP85_2100_HighRisk%,RCP45_2050_Change,RCP45_2050_HighRisk_Change,RCP85_2050_Change,RCP85_2050_HighRisk_Change,RCP45_2100_Change,RCP45_2100_HighRisk_Change,RCP85_2100_Change,RCP85_2100_HighRisk_Change
0.709110963362,Member State,3349,Viet Nam,2001,Duc Tho,264,3000,0.0170951028668,74075,NO,Ha Tinh,3.0350167894891036,49.99932391319045,3.0358100646789716,50.009239853063804,3.0359858472494534,50.01104275122259,3.0360624704212023,50.01149347576229,3.0373199918869584,50.02591666103261,0.0007932751898680479,0.009915939873351931,0.000969057760349834,0.011718838032138024,0.0010456809320986693,0.012169562571841652,0.0023032023978548644,0.026592747842158815
1.71624901533,Member State,3349,Viet Nam,2001,Huong Khe,264,3000,0.108051952525,74078,NO,Ha Tinh,1.2305000177942276,5.453717214135734,1.2312089398199224,5.475070287198832,1.23131641695434,5.478557955799139,1.23138403501904,5.479554432542083,1.2316018363642833,5.482116801309655,0.0007089220256948359,0.021353073063098194,0.0008163991601124465,0.024840741663404664,0.0008840172248123501,0.025837218406349116,0.001101818570055757,0.028399587173920438
1.58432084942,Member State,3349,Viet Nam,2001,Huong Son,264,3000,0.0949516645264,74079,NO,Ha Tinh,1.2458064746473478,5.759605834582952,1.2462503326906724,5.765691639564548,1.2464613072633677,5.769343122553507,1.246553811499088,5.7712905801476175,1.246961966153187,5.781109012184594,0.00044385804332458534,0.00608580498159661,0.0006548326160198403,0.009737287970555286,0.0007473368517401102,0.01168474556466581,0.0011554915058391568,0.021503177601641887
1.44781579605,Member State,3349,Viet Nam,2001,Vu Quang,264,3000,0.0554490646812,74080,NO,Ha Tinh,1.1628984026410705,3.8412414585861163,1.1633954081136837,3.851237099376106,1.163659181967864,3.8551242930166567,1.1638035634459416,3.856929061492627,1.1643394408549606,3.8673411873155317,0.0004970054726132211,0.00999564078998949,0.0007607793267936369,0.013882834430540392,0.0009051608048711302,0.015687602906510723,0.001441038213890078,0.02609972872941535
1.18690593806,Member State,3349,Viet Nam,1000,Cam Xuyen,264,3000,0.0543551493778,32346,NO,Ha Tinh,1.8761313489598734,21.53202723868085,1.878310217052048,21.605599408027008,1.8790997030231087,21.614088504490027,1.8797604376978136,21.625973239538247,1.883004687396097,21.721900029570353,0.0021788680921746018,0.07357216934615707,0.0029683540632352567,0.08206126580917683,0.0036290887379402115,0.09394600085739668,0.006873338436223619,0.1898727908895026
1.14655851527,Member State,3349,Viet Nam,1000,Can Loc,264,3000,0.0324603654246,32347,NO,Ha Tinh,2.632984920569008,45.53703418083453,2.633953041394284,45.54747469953848,2.634152360387723,45.54961026018247,2.6342710026457223,45.55245767437446,2.635177429496838,45.56337276211041,0.0009681208252758644,0.010440518703951795,0.0011674398187149215,0.012576079347937252,0.0012860820767142123,0.015423493539927335,0.0021925089278300725,0.026338581275879847
1.91360788858,Member State,3349,Viet Nam,1000,Ky Anh,264,3000,0.08817744807,32351,NO,Ha Tinh,1.7772761612480754,17.482919042229025,1.7968270067783585,17.665470280745506,1.8007159145468503,17.726117374782486,1.8034110504930627,17.766810180695227,1.8164859017290522,17.949012872694254,0.01955084553028308,0.18255123851648136,0.0234397532987749,0.24319833255346168,0.026134889244987303,0.2838911384662026,0.03920974048097681,0.4660938304652298
0.847269496693,Member State,3349,Viet Nam,1000,Nghi Xuan,264,3000,0.0187147539106,32352,NO,Ha Tinh,2.5160062451338625,40.08090661547524,2.5164387906850285,40.088733630210626,2.5165129413509426,40.08996947464254,2.5165788530539777,40.09079337093047,2.5169496063835486,40.10109207452966,0.0004325455511660081,0.007827014735383386,0.0005066962170801048,0.00906285916729388,0.0005726079201151535,0.009886755455227103,0.000943361249686081,0.020185459054417265
1.66724729715,Member State,3349,Viet Nam,1000,Thach Ha,264,3000,0.0355061522216,32353,NO,Ha Tinh,2.5825691454536783,44.00486478752325,2.583345256832165,44.02784462163486,2.5834059582807614,44.03001253051332,2.583566383537767,44.03608267537299,2.583999965313458,44.05060766485863,0.0007761113784865437,0.02297983411160942,0.0008368128270830333,0.025147742990064614,0.0009972380840888029,0.031217887849734893,0.001430819859779664,0.045742877335378296
0.340786890843,Member State,3349,Viet Nam,1000,Ha Tinh Township,264,3000,0.00265369429039,74076,NO,Ha Tinh,2.4940971718636695,40.649746192893396,2.496359680928209,40.78897751994199,2.496359680928209,40.78897751994199,2.496359680928209,40.78897751994199,2.496562726613488,40.80058013052937,0.0022625090645393975,0.13923132704859142,0.0022625090645393975,0.13923132704859142,0.0022625090645393975,0.13923132704859142,0.002465554749818466,0.15083393763597286
0.419290404117,Member State,3349,Viet Nam,1000,Hong Linh Township,264,3000,0.00508682481228,74077,NO,Ha Tinh,2.5951648817728765,45.408000969447265,2.5954223912022663,45.41103049214597,2.5954375388157596,45.41103049214597,2.5954375388157596,45.41103049214597,2.5956193101776814,45.42314858294076,0.0002575094293897351,0.0030295226987036017,0.00027265704288303994,0.0030295226987036017,0.00027265704288303994,0.0030295226987036017,0.00045442840480491853,0.015147613493496692
